# ID, cp_x, cp_y, cp_z, bx_x, bx_y, bx_z, by_x, by_y, by_z, dx, dy, slit_id
FDC_A_CH1,-0.570282,1.36623,-1.22926,0.23167801775070704,-0.4867580372944288,0.8422540645318244,0.9220629828972257,0.385794992844128,-0.0310173994246775,0.00470048,0.00390104,SLIT_FDC_A_CH1
FDC_A_CH2,-0.569104,1.36376,-1.22498,0.23192104262419255,-0.486822089471823,0.8421501547766858,0.9220773792311358,0.3857591586546717,-0.03103511276409261,0.00469987,0.00389881,SLIT_FDC_A_CH2
FDC_A_CH3,-0.567926,1.36128,-1.2207,0.23171993616348358,-0.48684586587885087,0.8421917679846218,0.9220677399698526,0.3857918912037392,-0.03091439128190547,0.00469964,0.00391403,SLIT_FDC_A_CH3
FDC_A_CH4,-0.566748,1.35881,-1.21642,0.23167801775070704,-0.4867580372944288,0.8422540645318244,0.9221635240912209,0.3855578010219039,-0.03097768401308294,0.00470048,0.00390603,SLIT_FDC_A_CH4
FDC_B_CH5,-0.562639,1.35017,-1.2017,0.30811202643277785,-0.6838890586705029,0.6613340567355205,0.9221540488440806,0.3855770204230032,-0.031020501643074586,0.00469959,0.00390065,SLIT_FDC_B_CH5
FDC_B_CH6,-0.561073,1.3467,-1.19834,0.30847090020505286,-0.6839827787213472,0.6610697861340428,0.9221540488440806,0.3855770204230032,-0.031020501643074586,0.00471357,0.00390065,SLIT_FDC_B_CH6
FDC_B_CH7,-0.559507,1.34322,-1.19498,0.30810996551864545,-0.6840989234407836,0.6611179260126443,0.9221224856472955,0.38565620311064414,-0.03097441631306225,0.00469961,0.00393874,SLIT_FDC_B_CH7
FDC_B_CH8,-0.557941,1.33975,-1.19162,0.30834786558718624,-0.683940701861422,0.6611707117871544,0.9221775728616072,0.3855358214257687,-0.030832685718776714,0.00469924,0.00392441,SLIT_FDC_B_CH8
FDC_C_CH10,-0.552294,1.32689,-1.18358,0.3631929366495327,-0.8350798543399565,0.4131979279273379,0.9221591428124506,0.3855660597116391,-0.03100530480171302,0.00379964,0.00399931,SLIT_FDC_C_CH10
FDC_C_CH11,-0.550449,1.32265,-1.18148,0.36307303744826264,-0.8350690861311175,0.41332504263138037,0.9221075541996978,0.38569023180529094,-0.03099521862856531,0.00380088,0.00400062,SLIT_FDC_C_CH11
FDC_C_CH12,-0.548604,1.31841,-1.17938,0.36311287839024936,-0.83515972029754,0.41310686164681726,0.9221075541996978,0.38569023180529094,-0.03099521862856531,0.00380047,0.00400062,SLIT_FDC_C_CH12
FDC_C_CH9,-0.554139,1.33113,-1.18568,0.3631929366495327,-0.8350798543399565,0.4131979279273379,0.9221591428124506,0.3855660597116391,-0.03100530480171302,0.00379964,0.00399931,SLIT_FDC_C_CH9
FDC_D_CH13,-0.544547,1.30898,-1.17598,0.3821360015413456,-0.8945460036081514,0.2318610009352114,0.9221591428124506,0.3855660597116391,-0.03100530480171302,0.00379969,0.00399931,SLIT_FDC_D_CH13
FDC_D_CH14,-0.542606,1.30443,-1.1748,0.3818881260624369,-0.8945812953040181,0.23213307662783766,0.922070151889512,0.38577906354808644,-0.031002405106921826,0.00379954,0.0039997,SLIT_FDC_D_CH14
FDC_D_CH15,-0.540666,1.29989,-1.17363,0.38182118283798083,-0.8946884284283666,0.23183011101361395,0.922070151889512,0.38577906354808644,-0.031002405106921826,0.00380021,0.0039997,SLIT_FDC_D_CH15
FDC_D_CH16,-0.538725,1.29534,-1.17245,0.38182118283798083,-0.8946884284283666,0.23183011101361395,0.9221075541996978,0.38569023180529094,-0.03099521862856531,0.00380021,0.00400062,SLIT_FDC_D_CH16
FDC_E_CH17,-0.534179,1.28464,-1.17038,0.3863688763538657,-0.9132837077300814,0.12896495872851155,0.922070151889512,0.38577906354808644,-0.031002405106921826,0.00379948,0.0039997,SLIT_FDC_E_CH17
FDC_E_CH18,-0.532217,1.28,-1.16973,0.3862761287340738,-0.913327304384185,0.12893404296979122,0.9221075541996978,0.38569023180529094,-0.03099521862856531,0.00380039,0.00400062,SLIT_FDC_E_CH18
FDC_E_CH19,-0.530254,1.27536,-1.16907,0.3862630926965869,-0.9132962191755928,0.12919303100413487,0.922070151889512,0.38577906354808644,-0.031002405106921826,0.00380052,0.0039997,SLIT_FDC_E_CH19
FDC_E_CH20,-0.528292,1.27072,-1.16842,0.38635583716630995,-0.9132526151001773,0.12922394553722277,0.9221591428124506,0.3855660597116391,-0.03100530480171302,0.00379961,0.00399931,SLIT_FDC_E_CH20
