# ID, cp_x, cp_y, cp_z, bx_x, bx_y, bx_z, by_x, by_y, by_z, dx, dy, dz
SLIT_FDC_A_CH1,-0.591405,1.41862,-1.20585,0.231678,-0.486758,0.842254,0.922063,0.385795,-0.0310174,0.00470048,0.00390104,0.001
SLIT_FDC_A_CH2,-0.58775,1.41094,-1.19258,0.231921,-0.486822,0.84215,0.922077,0.385759,-0.0310351,0.00469987,0.00389881,0.001
SLIT_FDC_A_CH3,-0.585101,1.40537,-1.18293,0.23172,-0.486846,0.842192,0.922068,0.385792,-0.0309144,0.00469964,0.00391403,0.001
SLIT_FDC_A_CH4,-0.58241,1.39973,-1.17317,0.231678,-0.486758,0.842254,0.922164,0.385558,-0.0309777,0.00470048,0.00390603,0.001
SLIT_FDC_B_CH5,-0.579009,1.39254,-1.1615,0.308112,-0.683889,0.661334,0.922154,0.385577,-0.0310205,0.00469959,0.00390065,0.001
SLIT_FDC_B_CH6,-0.575963,1.38578,-1.15496,0.308471,-0.683983,0.66107,0.922154,0.385577,-0.0310205,0.00471357,0.00390065,0.001
SLIT_FDC_B_CH7,-0.572785,1.37868,-1.14811,0.30811,-0.684099,0.661118,0.922122,0.385656,-0.0309744,0.00469961,0.00393874,0.001
SLIT_FDC_B_CH8,-0.569735,1.37193,-1.14158,0.308348,-0.683941,0.661171,0.922178,0.385536,-0.0308327,0.00469924,0.00392441,0.001
SLIT_FDC_C_CH10,-0.563792,1.36019,-1.11128,0.363193,-0.83508,0.413198,0.922159,0.385566,-0.0310053,0.00379964,0.00399931,0.001
SLIT_FDC_C_CH11,-0.560415,1.35242,-1.10744,0.363073,-0.835069,0.413325,0.922107,0.38569,-0.0309952,0.00380088,0.00400062,0.001
SLIT_FDC_C_CH12,-0.556517,1.34346,-1.103,0.363113,-0.83516,0.413107,0.922107,0.38569,-0.0309952,0.00380047,0.00400062,0.001
SLIT_FDC_C_CH9,-0.567689,1.36915,-1.11571,0.363193,-0.83508,0.413198,0.922159,0.385566,-0.0310053,0.00379964,0.00399931,0.001
SLIT_FDC_D_CH13,-0.551123,1.3309,-1.09879,0.382136,-0.894546,0.231861,0.922159,0.385566,-0.0310053,0.00379969,0.00399931,0.001
SLIT_FDC_D_CH14,-0.548107,1.32384,-1.09696,0.381888,-0.894581,0.232133,0.92207,0.385779,-0.0310024,0.00379954,0.0039997,0.001
SLIT_FDC_D_CH15,-0.545092,1.31677,-1.09513,0.381821,-0.894688,0.23183,0.92207,0.385779,-0.0310024,0.00380021,0.0039997,0.001
SLIT_FDC_D_CH16,-0.542075,1.30971,-1.0933,0.381821,-0.894688,0.23183,0.922107,0.38569,-0.0309952,0.00380021,0.00400062,0.001
SLIT_FDC_E_CH17,-0.537537,1.29902,-1.09124,0.386369,-0.913284,0.128965,0.92207,0.385779,-0.0310024,0.00379948,0.0039997,0.001
SLIT_FDC_E_CH18,-0.534486,1.29181,-1.09022,0.386276,-0.913327,0.128934,0.922107,0.38569,-0.0309952,0.00380039,0.00400062,0.001
SLIT_FDC_E_CH19,-0.531437,1.2846,-1.0892,0.386263,-0.913296,0.129193,0.92207,0.385779,-0.0310024,0.00380052,0.0039997,0.001
SLIT_FDC_E_CH20,-0.528386,1.27739,-1.08818,0.386356,-0.913253,0.129224,0.922159,0.385566,-0.0310053,0.00379961,0.00399931,0.001
SLIT_FDC_F_CH21,-0.52122,1.2602,-1.08886,0.374218,-0.908966,-0.183688,0.922159,0.385566,-0.0310053,0.00379992,0.00399931,0.001
SLIT_FDC_F_CH22,-0.515584,1.2465,-1.09163,0.374236,-0.90901,-0.183434,0.92207,0.385779,-0.0310024,0.00379974,0.0039997,0.001
SLIT_FDC_F_CH23,-0.511577,1.23677,-1.0936,0.37401,-0.9091,-0.183452,0.922107,0.38569,-0.0309952,0.00379936,0.00400062,0.001
SLIT_FDC_F_CH24,-0.505429,1.22182,-1.09661,0.37401,-0.9091,-0.183452,0.92207,0.385779,-0.0310024,0.00379936,0.0039997,0.001
SLIT_FDC_G_CH25,-0.503173,1.21457,-1.11977,0.301454,-0.766293,-0.56738,0.922116,0.385668,-0.0310278,0.00470055,0.00389973,0.001
SLIT_FDC_G_CH26,-0.499624,1.20555,-1.12645,0.30149,-0.766386,-0.567236,0.922116,0.385668,-0.0310278,0.00469998,0.00389973,0.001
SLIT_FDC_G_CH27,-0.494871,1.19347,-1.1354,0.30154,-0.766298,-0.567328,0.922116,0.385668,-0.0310278,0.00469922,0.00389973,0.001
SLIT_FDC_G_CH28,-0.489954,1.18097,-1.14465,0.301503,-0.766205,-0.567473,0.922123,0.385671,-0.0307716,0.00469978,0.0038997,0.001
